Korpus,Ort,Relation,Relationales Verb,Raumthema,Beschreibung,Hinweis,Metapher,Korpus,Gesamt
18. Jhdt. 40000,891,1336,,137,,528,936,18. Jhdt. 40000,3828
19. Jhdt. 40000,860,1724,,157,,907,461,19. Jhdt. 40000,4109
20. Jhdt. 40000,962,1012,,80,,398,42,20. Jhdt. 40000,2494
21. Jhdt. 40000,1113,2453,,334,,1454,123,21. Jhdt. 40000,5477
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Kumuliert,Ort,Relation,Thema,Hinweis,Metapher,,,,
40000,891,1336,137,528,936,,,,
80000,1751,3060,294,1435,1397,,,,
120000,2713,4072,374,1833,1439,,,,
160000,3826,6525,708,3287,1562,,,,
