Korpus,Ort,Relation,Relationales Verb,Raumthema,Beschreibung,Hinweis,Metapher,Korpus,Gesamt
18. Jhdt. 80000,1600,2868,2639,391,324,1975,1741,18. Jhdt. 80000,11538
19. Jhdt. 80000,2021,3993,4090,502,625,3476,1020,19. Jhdt. 80000,15727
20. Jhdt. 80000,1993,1012,4487,585,727,3922,838,20. Jhdt. 80000,13564
21. Jhdt. 80000,2144,4363,3711,749,515,3358,539,21. Jhdt. 80000,15379
,,,,,,,,,
Kumuliert,Ort,Relation,Relationales Verb,Raumthema,Beschreibung,Hinweis,Metapher,Gesamt,
80000,1677,3043,2881,455,385,2182,1537,12160,
120000,2634,4929,4840,759,774,3724,1934,19594,
160000,3743,7001,6283,1144,1048,5030,2174,26423,
240000,5716,11266,10957,1765,1802,9110,3130,43746,
320000,7892,15481,15052,2441,2475,13691,4930,61962,
