Korpus,Ort,Relation,Relationales Verb,Raumthema,Beschreibung,Hinweis,Metapher,Korpus,Gesamt
18. Jhdt. 80000,1600,2868,2639,391,324,1975,1741,18. Jhdt. 80000,11538
19. Jhdt. 80000,2021,3993,4090,502,625,3476,1020,19. Jhdt. 80000,15727
20. Jhdt. 80000,1993,1012,4487,585,727,3922,838,20. Jhdt. 80000,13564
21. Jhdt. 80000,2144,4363,3711,749,515,3358,539,21. Jhdt. 80000,15379
,,,,,,,,,
Kumuliert,Ort,Relation,Relationales Verb,Raumthema,Beschreibung,Hinweis,Metapher,Gesamt,
40000,1600,2868,2639,391,324,1975,1741,11538,
80000,3621,6861,6729,893,949,5451,2761,27265,
120000,5614,7873,11216,1478,1676,9373,3599,40829,
160000,7758,12236,14927,2227,2191,12731,4138,56208,
